brand,model,weight_g,price_EUR,img_url,length_mm,width_mm,thickness_mm,display_size_pixels,internal_memory_GB,primary_camera_MP,secondary_camera_MP,battery_mAh,is_removable,screen_to_body_ratio,cpu_speed,ram_size,technology_type,color_support,additional_features
Samsung,Galaxy J7 Max,179,250,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j7-max.jpg,156.7,78.8,8.1,1080 x 1920,32.0,13,13.0,3300.0,0,72.5,2.4,4.0,PLS,16M,[]
Samsung,Galaxy S8,155,700,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s8-.jpg,148.9,68.1,8.0,1440 x 2960,64.0,12,8.0,3000.0,0,83.6,2.3,4.0,Super AMOLED,16M,[]
Samsung,Galaxy S8+,173,900,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s8-plus-.jpg,159.5,73.4,8.1,1440 x 2960,64.0,12,8.0,3500.0,0,84.0,2.3,4.0,Super AMOLED,16M,[]
Samsung,Galaxy Xcover 4,172,240,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-xcover4-g390f-.jpg,146.2,73.3,9.7,720 x 1280,16.0,13,5.0,2800.0,1,64.3,1.4,2.0,IPS LCD,16M,[]
Samsung,Galaxy Tab S3 9.7,429,750,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-s3-97-sm-t825.jpg,237.3,169.0,6.0,1536 x 2048,32.0,13,5.0,6000.0,0,72.7,2.15,4.0,Super AMOLED,16M,[]
Samsung,Galaxy J1 mini prime,126,110,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j1-nxt.jpg,121.6,63.1,10.8,480 x 800,8.0,5,,1500.0,1,59.4,1.5,1.0,TFT,256K,[]
Samsung,Galaxy J3 Emerge,147,260,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j3-emerge-.jpg,140.9,70.1,8.7,720 x 1280,16.0,5,2.0,2600.0,1,69.8,1.4,1.5,,16M,[]
Samsung,Galaxy C7 Pro,172,420,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-c7-pro.jpg,156.5,77.2,7.0,1080 x 1920,64.0,16,16.0,3300.0,0,74.1,2.2,4.0,Super AMOLED,16M,[]
Samsung,Galaxy A7 (2017),186,530,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a7-2017.jpg,156.8,77.6,7.9,1080 x 1920,32.0,16,16.0,3600.0,0,73.6,1.9,3.0,Super AMOLED,16M,[]
Samsung,Galaxy A5 (2017),157,430,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a5-2017-new.jpg,146.1,71.4,7.9,1080 x 1920,32.0,16,16.0,3000.0,0,71.5,1.9,3.0,Super AMOLED,16M,[]
Samsung,Galaxy A3 (2017),138,330,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a3-2017.jpg,135.4,66.2,7.9,720 x 1280,16.0,13,8.0,2350.0,0,67.9,1.6,2.0,Super AMOLED,16M,[]
Samsung,Galaxy Grand Prime Plus,160,140,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j2-prime-2016.jpg,144.8,72.1,8.9,540 x 960,8.0,8,5.0,2600.0,1,66.0,1.4,1.5,PLS,16M,[]
Samsung,Galaxy J2 Prime,160,130,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j2-prime-2016.jpg,144.8,72.1,8.9,540 x 960,8.0,8,5.0,2600.0,1,66.0,1.4,1.5,PLS,16M,[]
Samsung,Galaxy C9 Pro,189,620,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-c9-pro-.jpg,162.9,80.7,6.9,1080 x 1920,64.0,16,16.0,4000.0,0,75.5,1.95,6.0,Super AMOLED,16M,[]
Samsung,Galaxy A8 (2016),182,560,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a8-2016r1-.jpg,156.6,76.8,7.2,1080 x 1920,32.0,16,8.0,3300.0,0,74.5,2.1,3.0,Super AMOLED,16M,[]
Samsung,Galaxy On8,169,300,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j7-2016.jpg,151.7,76.0,7.8,1080 x 1920,16.0,13,5.0,3300.0,1,72.3,1.6,3.0,Super AMOLED,16M,[]
Samsung,Galaxy On7 (2016),167,260,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-on7-2016-g6100-c.jpg,151.7,75.0,8.0,1080 x 1920,32.0,13,8.0,3300.0,0,73.3,2.0,3.0,,16M,[]
Samsung,Galaxy J5 Prime,143,230,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j5-prime.jpg,142.8,69.5,8.1,720 x 1280,32.0,13,5.0,2400.0,0,69.4,1.4,2.0,PLS,16M,[]
Samsung,Galaxy J7 Prime,167,280,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j7-prime.jpg,151.7,75.0,8.0,1080 x 1920,32.0,13,8.0,3300.0,0,73.3,1.6,3.0,PLS,16M,[]
Samsung,Z2,127,80,http://cdn2.gsmarena.com/vv/bigpic/samsung-z2.jpg,121.5,63.0,10.8,480 x 800,8.0,5,,1500.0,1,59.5,1.5,1.0,TFT,256K,[]
Samsung,Galaxy Note7 (USA),169,760,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-note7-usa.jpg,153.5,73.9,7.9,1440 x 2560,64.0,12,5.0,3500.0,0,79.0,2.15,4.0,Super AMOLED,16M,[]
Samsung,Galaxy Note7,169,850,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-note7.jpg,153.5,73.9,7.9,1440 x 2560,64.0,12,5.0,3500.0,0,78.0,2.3,4.0,Super AMOLED,16M,[]
Samsung,Galaxy On7 Pro,172,180,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-on7-.jpg,152.0,78.0,8.0,720 x 1280,16.0,13,5.0,3000.0,1,70.3,1.2,2.0,TFT,16M,[]
Samsung,Galaxy On5 Pro,149,150,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-on5.jpg,142.3,72.1,8.5,720 x 1280,16.0,8,5.0,2600.0,1,67.2,1.3,2.0,TFT,16M,[]
Samsung,Galaxy J Max,289,220,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j-max3.jpg,186.9,108.8,8.7,800 x 1280,8.0,8,2.0,4000.0,0,69.9,1.5,1.5,TFT,16M,[]
Samsung,Galaxy J2 Pro (2016),138,160,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j2-2016-new.jpg,142.4,71.1,8.0,720 x 1280,16.0,8,5.0,2600.0,1,68.1,1.5,2.0,Super AMOLED,16M,[]
Samsung,Galaxy J2 (2016),138,150,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j2-2016-new.jpg,142.4,71.1,8.0,720 x 1280,8.0,8,5.0,2600.0,1,68.1,1.5,1.5,Super AMOLED,16M,[]
Samsung,Galaxy S7 active,184.8,710,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s7-active.jpg,148.8,74.9,9.9,1440 x 2560,32.0,12,5.0,4000.0,0,64.3,2.15,4.0,Super AMOLED,16M,[]
Samsung,Galaxy J3 Pro,139,150,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j3-2017r1.jpg,142.2,71.3,8.0,720 x 1280,16.0,8,5.0,2600.0,1,68.0,1.2,2.0,Super AMOLED,16M,[]
Samsung,Galaxy C7,169,450,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-c7.jpg,156.6,77.2,6.8,1080 x 1920,64.0,16,8.0,3300.0,0,74.1,2.0,4.0,Super AMOLED,16M,[]
Samsung,Galaxy C5,143,360,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-c5r3.jpg,145.9,72.0,6.7,1080 x 1920,64.0,16,8.0,2600.0,0,71.0,1.5,4.0,Super AMOLED,16M,[]
Samsung,Galaxy A9 Pro (2016),210,500,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a9-pro1.jpg,161.7,80.9,7.9,1080 x 1920,32.0,16,8.0,5000.0,0,75.9,1.8,4.0,Super AMOLED,16M,[]
Samsung,Galaxy J7 (2016),170,230,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j7-2016.jpg,151.7,76.0,7.8,720 x 1280,16.0,13,5.0,3300.0,1,72.3,1.6,2.0,Super AMOLED,16M,[]
Samsung,Galaxy J5 (2016),159,190,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j5-2016r.jpg,145.8,72.3,8.1,720 x 1280,16.0,13,5.0,3100.0,1,70.7,1.2,2.0,Super AMOLED,16M,[]
